Город;Описание;Картинка;Голосов;Ссылка
ЧУВАШСКАЯ РЕСПУБЛИКА, Г.ЧЕБОКСАРЫ;МБОУ"ЛИЦЕЙ 44" .УЛ.БАУМАНА, 10 ТРЕБУЕТСЯ РЕМОНТ(ЗАМЕНА ПЛИТКИ,САНТЕХНИКИ);https://www.promonado.ru/domestos-schools/thumb/5C6F0E3B-20AB-4360-B53E-135FA6716ADA.jpg;1151;https://www.promonado.ru/domestos-schools/?voteid=162
Г ВЫКСА;МБОУ БЛИЖНЕПЕСОЧЕНСКАЯ ОШ 1 НАША ШКОЛА НАХОДИТСЯ В ПОСЁЛКЕ, И НЕСМОТРЯ НА СВЕЖИЙ РЕМОНТ, КОТОРЫЙ БЫЛ ПРОВЕДЁН В ТУАЛЕТАХ, К СОЖАЛЕНИЮ, ТУАЛЕТ ДЛЯ МАЛЬЧИКОВ ВЫГЛЯДИТ НЕОПРЯТНЫМ.;https://www.promonado.ru/domestos-schools/thumb/15979342-0F58-4B37-94C6-14E7DB236208.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=163
САНКТ-ПЕТЕРБУРГ;ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГИМНАЗИЯ №227 ФРУНЗЕНСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА ТУАЛЕТ РАСПОЛОЖЕН НА ПЕРВОМ ЭТАЖЕ УЧЕБНОГО УЧРЕЖДЕНИЯ. ПЛАНИРУЕМ СДЕЛАТЬ РЕМОНТ, СДЕЛАТЬ ПРОСТРАНСТВО ЧИСТЫМ И КОМФОРТНЫМ.;https://www.promonado.ru/domestos-schools/thumb/440A1048-C85A-4A5A-B842-816B2532C9F8.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=164
ЧУВАШСКАЯ РЕСПУБЛИКА, Г.ЧЕБОКСАРЫ;МБОУ"ЛИЦЕЙ 44" .УЛ.БАУМАНА, 10 ТРЕБУЕТСЯ ЗАМЕНА ПЛИТКИ,САНТЕХНИКИ;https://www.promonado.ru/domestos-schools/thumb/4A1BECDD-F1CB-40F2-8487-2EE6BC6F60BE.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=165
ЧУВАШСКАЯ РЕСПУБЛИКА, Г.ЧЕБОКСАРЫ;МБОУ"ЛИЦЕЙ 44" .УЛ.БАУМАНА, 10 ТРЕБУЕТСЯ ЗАМЕНА ПЛИТКИ,ЗАМЕНА САНТЕХНИКИ.;https://www.promonado.ru/domestos-schools/thumb/3BF95BDA-5F71-4371-93BF-B39A2D1E4A14.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=166
ВЛАДИВОСТОК;ЧКАЛОВА 15 ШКОЛА 58 ТРЕБУЮТ РЕМОНТА ТУАЛЕТЫ;https://www.promonado.ru/domestos-schools/thumb/E9102F55-2C65-47D0-9AF3-43D25B4F199A.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=167
ЧУВАШСКАЯ РЕСПУБЛИКА, Г.ЧЕБОКСАРЫ;МБОУ"ЛИЦЕЙ 44" .УЛ.БАУМАНА, 10 ТРЕБУЕТСЯ ЗАМЕНА ПЛИТКИ, ЗАМЕНА САНТЕХНИКИ;https://www.promonado.ru/domestos-schools/thumb/3BF95BDA-5F71-4371-93BF-B39A2D1E4A14.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=168
П. ДВУРЕЧЕНСК СЫСЕРТСКИЙ РАЙОН СВЕРДЛОВСКАЯ ОБЛАСТЬ;МАОУ СОШ #3 П. ДВУРЕЧЕНСК КАК БЫ НИ УКРАШАЛИ, ЗАМАЗЫВАЛИ, ПОДКРАШИВАЛИ К НОВОМУ УЧЕБНОМУ ГОДУ ТУАЛЕТЫ - ОНИ ОСТАЮТСЯ СТАРЫМИ, ПАХНУЩИМИ КАНАЛИЗАЦИЕЙ...;https://www.promonado.ru/domestos-schools/thumb/7C1AAB3B-81EC-4A3C-9AAE-4B71EBA69F47.jpg;104;https://www.promonado.ru/domestos-schools/?voteid=169
ЗАВОЛЖЬЕ, НИЖЕГОРОДСКАЯ ОБЛАСТЬ;ШКОЛА № 15 Г. ЗАВОЛЖЬЕ ДЛЯ НАШИХ ДЕТОК НАДО ЛУЧШЕЕ;https://www.promonado.ru/domestos-schools/thumb/E2874274-1451-43B6-A649-5B824F17857F.jpg;8;https://www.promonado.ru/domestos-schools/?voteid=172
ЗАВОЛЖЬЕ, НИЖЕГОРОДСКАЯ ОБЛАСТЬ;ШКОЛА № 15 Г. ЗАВОЛЖЬЕ ДАВАЙТЕ ДЛЯ ДЕТЕЙ ЛУЧШЕЕ;https://www.promonado.ru/domestos-schools/thumb/E2874274-1451-43B6-A649-5B824F17857F.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=173
