Город;Описание;Картинка;Голосов;Ссылка
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62В, СОШ N11 УЖАСНОЕ, НЕ КОМФОРТНО;https://www.promonado.ru/domestos-schools/thumb/669D5F10-932E-4DF6-B9DC-4197FBE1E660.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=437
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62В, СОШ N11 ТРЕБУЕТ РЕМОНТА;https://www.promonado.ru/domestos-schools/thumb/669D5F10-932E-4DF6-B9DC-4197FBE1E660.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=438
НЕФТЕКАМСК;НАЗВАНИЕ ШКОЛЫ И АДРЕС ПРОСИТ:МОАУ СОШ11, УЛ. СОЦИАЛИСТИЧЕСКАЯ, 62В НА ФОТО ВСЕ ВИДНО, ОЧЕНЬ СТРАШНО ЗАХОДИТЬ В ТАКОЕ ПОМЕЩЕНИЕ.;https://www.promonado.ru/domestos-schools/thumb/BF06F39A-0203-4E48-A849-F78F12635743.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=439
НЕФТЕКАМСК;11 ШКОЛА ЗАМЕНА ТУАЛЕТА;https://www.promonado.ru/domestos-schools/thumb/BCDC759E-74C8-4AFC-942B-C2EAF0921975.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=445
НЕФТЕКАМСК;МОАУ СОШ №11 Г УЛ. СОЦИАЛИСТИЧЕСКАЯ 62В УНИТАЗЫ ОЧЕНЬ СТАРЫЕ.;https://www.promonado.ru/domestos-schools/thumb/201F45E3-1581-4846-95FF-431C070FD2FF.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=446
НЕФТЕКАМСК;МОАУСОШ11 В УЖАСНОМ СОСТОЯНИЕ;https://www.promonado.ru/domestos-schools/thumb/45182C91-60E7-4D78-9BCF-FE1611395C23.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=449
ГОРОД НЕФТЕКАМСК;МОАУ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 3 ГОРОДСКОГО ОКРУГА ГОРОД НЕФТЕКАМСК, 452684, РБ, Г. НЕФТЕКАМСК, ПРОСПЕКТ КОМСОМОЛЬСКИЙ, ДОМ 17 "Б" ИНЖЕНЕРНЫЕ СЕТИ СОСТОЯТ ИЗ УСТАРЕВШЕГО ФИЗИЧЕСКИ И МОРАЛЬНО ОБОРУДОВАНИЯ. В ТУАЛЕТАХ СМОНТИРОВАНЫ НАВЕСНЫЕ СМЫВНЫЕ БАЧКИ, НЕПРИГОДНЫЕ К ИСПОЛЬЗОВАНИЮ В СВЯЗИ С ОТСУТСТВИЕМ ЗАПАСНЫХ ЧАСТЕЙ. ИМЕЮТСЯ МНОЖЕСТВЕННЫЕ ДЕФЕКТЫ (СКОЛЫ, ТРЕЩИНЫ) НА РАКОВИНАХ И УНИТАЗАХ. КАНАЛИЗАЦИОННЫЕ И ВОДОПРОВОДНЫЕ ТРУБЫ ВЫРАБОТАЛИ СВОЙ РЕСУРС, ПРОРЖАВЕЛИ, ИМЕЮТ НИЗКУЮ ПРОХОДНУЮ СПОСОБНОСТЬ (ЗАБИТЫ) И ТРЕБУЮТ ЗАМЕНЫ. КАФЕЛЬНАЯ ПЛИТКА В ТУАЛЕТАХ СИЛЬНО ИЗНОШЕНА. НАБЛЮДАЕТСЯ ОТСЛАИВАНИЕ ПЛИТОК ОТ СТЕНЫ, ПОВРЕЖДЕНИЕ ПЛИТОК (СКОЛЫ, ТРЕЩИНЫ). ПОСТОЯННО ТЕЧЕТ ВОДА.;https://www.promonado.ru/domestos-schools/thumb/D1605D14-807E-42A2-8B30-11F18A47D441.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=452
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ УЛ.,62В,ШКОЛА НОМЕР 11 УЖАСНЫЕ ТУАЛЕТЫ,НЕТ ПЕРЕГОРОДОК И ДВЕРЕЙ,ПЛОХИЕ САНИТАРНЫЕ УСЛОВИЯ,ПЛОХОЙ КАФЕЛЬ;https://www.promonado.ru/domestos-schools/thumb/F23666DC-681C-4F7E-B44D-E95C58706C76.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=453
НЕФТЕКАМСК;Г.НЕФТЕКАМСК, УЛ.СОЦИАЛИСТИЧЕСКАЯ, Д.62 В, МОАУ СОШ 11 НОВЫЙ САНУЗЕЛ С ОТДЕЛЬНЫМИ КАБИНКАМИ ДЛЯ ОБУЧАЮЩИХСЯ И ПЕРСОНАЛА.;https://www.promonado.ru/domestos-schools/thumb/FB87BAA9-E8F2-4BA8-BBAB-F858F43B54B4.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=458
НЕФТЕКАМСК;УЛИЦА СОЦИАЛИСТИЧЕСКАЯ 62 В МОАУ СОШ 11 НУЖЕН РЕМОНТ ТУАЛЕТОВ ;https://www.promonado.ru/domestos-schools/thumb/D8636095-DCF0-4E65-B21F-7AE135A761D7.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=459
РЕСПУБЛИКА БАШКОРТОСТАН ГОРОД НЕФТЕКАМСК;452683 РБ ГОРОД НЕФТЕКАМСК УЛИЦА СОЦИАЛИСТИЧЕСКАЯ ДОМ 62В УЖАСНОЕ СОСТОЯНИЕ ТУАЛЕТОВ;https://www.promonado.ru/domestos-schools/thumb/EB982406-C76C-4595-BCBA-2A1570BFDED7.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=460
НЕФТЕКАМСК;СТРОИТЕЛЕЙ 81Б, 2 ШКОЛЬНЫЙ ТУАЛЕТ.;https://www.promonado.ru/domestos-schools/thumb/D6B5E997-6A8B-495F-82F5-CAA6426CFCFD.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=461
НЕФТЕКАМСК;УЛ. СОЦИАЛИСТИЧЕСКАЯ 62В МОАУ СОШ 11 УЖАСНЫЕ ТУАЛЕТЫ;https://www.promonado.ru/domestos-schools/thumb/8D871A3E-07B0-4606-B1AB-34AF5DC4E79F.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=462
НЕФТЕКАМСК;МОАУСОШ N11 УЛ. СОЦИАЛИСТИЧЕСКА 62 Б ХОЧЕТСЯ КРАСИВЫЕ , КОМФОРТНЫЕ ПОМЕЩЕНИЯ;https://www.promonado.ru/domestos-schools/thumb/460D5FED-75CC-450F-9EED-DC5E02EEE64A.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=463
НЕФТЕКАМСК;ШКОЛА 11 ПЛОХО;https://www.promonado.ru/domestos-schools/thumb/9FC1713B-A5F3-408F-8C7C-CC750D8FE313.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=464
НЕФТЕКАМСК;МОАУ СОШ 11, СОЦИАЛИСТИЧЕСКАЯ 62В МОАУ СОШ 11;https://www.promonado.ru/domestos-schools/thumb/B02AD4C0-0EDA-407C-8946-4AEFACC02CD9.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=467
НЕФТЕКАМСК;СОШ 11 , УЛ. СТРОИТЕЛЕЙ ТУАЛЕТЫ В УЖАСНОМ СОСТОЯНИИ;https://www.promonado.ru/domestos-schools/thumb/9DC30EF7-6699-4525-9AE9-DA872C0BE200.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=468
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62В ШКОЛА 11 НЕТ ДВЕРЕЙ,ТУАЛЕТЫ УЖАСНЫЕ;https://www.promonado.ru/domestos-schools/thumb/0BFC9A05-3655-4624-AC80-B42662D2AADD.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=469
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62 В НАШИМ ДЕТКАМ ОЧЕНЬ НУЖНЫ НОВЫЕ САН. УЗЛЫ;https://www.promonado.ru/domestos-schools/thumb/B5227735-8556-4A55-812A-BB710024A0E8.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=470
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 70Б, 58 ТУАЛЕТУ УЖАСНЫЙ, КАБИНОК НЕТ, ПРОТЕКАЕТ;https://www.promonado.ru/domestos-schools/thumb/951ABD55-C231-4C35-8FCE-89565C8D4FC6.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=471
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62В ПРОСИМ ПРИНЯТЬ;https://www.promonado.ru/domestos-schools/thumb/437A1E3B-D48F-4287-A56A-4512E3F6146B.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=473
НЕФТЕКАМСК;11ШКОЛА, СОЦИАЛИСТИЧЕСКАЯ,62В ВСЁ СТАРОЕ, НЕРАБОЧЕЕ;https://www.promonado.ru/domestos-schools/thumb/EFC12BA1-2A9B-4730-808D-1112D44D5C43.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=474
НЕФТЕКАМСК;СОШ #11, СОЦИАЛИСТИЧЕСКАЯ 62А ТУАЛЕТЫ В УЖАСНОМ СОСТОЯНИИ;https://www.promonado.ru/domestos-schools/thumb/63EFB09E-7B2B-4CDE-A71B-9D57122836E4.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=475
НЕФТЕКАМСК;МОАУ СОШ 11, СОЦИАЛИСТИЧЕСКАЯ 62 В ТРЕБУЕТСЯ РЕМОНТ!!!;https://www.promonado.ru/domestos-schools/thumb/47D2CB13-F66F-438C-9AF3-BB304FE9756C.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=476
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62В МОАУ СОШ 11 ТУАЛЕТ В ПЛОХОМ СОСТОЯНИИ ;https://www.promonado.ru/domestos-schools/thumb/1EE0ABDD-AEB1-4275-9B9D-0E01CE2BD3E4.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=477
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62В МОАУ СОШ №11 СДЕЛАЙТЕ , ПОЖАЛУЙСТА, РЕМОНТ В НАШЕЙ ШКОЛЕ ! ;https://www.promonado.ru/domestos-schools/thumb/BA6B9EFA-A848-4260-A63B-914DDB98A1CB.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=478
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ Д.62 В ШКОЛА 11 УЖАСНЫЕ ТУАЛЕТЫ.;https://www.promonado.ru/domestos-schools/thumb/A711D885-5774-4F22-A6CC-7D6876B7654C.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=481
НЕФТЕКАМСК;ШКОЛА 11 УЛ.СОЦИАЛИСТИЧЕСКАЯ, 62В РЕМОНТ САНТЕХНИКИ;https://www.promonado.ru/domestos-schools/thumb/14ED47F3-ACA7-44FF-A5FF-CFE8460D46C5.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=482
НЕФТЕКАМСК;11 ШКОЛА СОСТОЯНИЕ ТУАЛЕТОВ УЖАСНОЕ. МНЕ ХОЧЕТСЯ ДЕЛАТЬ ДЕЛА НА НОРМАЛЬНЫХ УНИТАЗАХ;https://www.promonado.ru/domestos-schools/thumb/807B143E-5BF3-441A-8E15-7C3487154609.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=483
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62 В МОАУ СОШ 11 НЕОБХОДИМ РЕМОНТ ТУАЛЕТА;https://www.promonado.ru/domestos-schools/thumb/E82997E8-F92D-4576-B211-37EAC85235BB.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=484
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62В МОАУ СОШ11 ОЧЕНЬ В УЖАСНОМ СОСТОЯНИЕ ТУАЛЕТЫ В ШКОЛЕ, НЕТ РЕМОНТА СТЕН И ПОЛА, УНИТАЗЫ СТАРЫЕ.;https://www.promonado.ru/domestos-schools/thumb/6966F824-588B-4078-B10B-B032B196F904.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=485
;УЛ. СОЦИАЛИСТИЧЕСКАЯ 62 В, СОШ №11 ХОТИМ ЧИСТЫЕ И УЮТНЫЕ ДЛЯ ПОСЕЩЕНИЯ САНУЗЛЫ. СПАСИБО;https://www.promonado.ru/domestos-schools/thumb/988D3DE3-B1E7-4ABE-807C-98048ECB1EFD.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=486
НЕФТЕКАМСК;СОШ 11 ТУАЛЕТ;https://www.promonado.ru/domestos-schools/thumb/4FF0B6DA-3D4A-4DD2-8584-1A2A37549C7D.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=487
Г. НЕФТЕКАМСК;УЛ. СОЦИАЛИСТИЧЕСКОЙ, 62 В, МОАУ 11 ХОТИМ НОВЫЕ ЧИСТЫЕ УНИТАЗЫ!;https://www.promonado.ru/domestos-schools/thumb/D1D43DA3-BAF5-4A6F-BBB1-BF288B60CB8C.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=488
НЕФТЕКАМСК;УЛ.СОЦИАЛИСТИЧЕСКАЯ 62В МОАУ СОШ 11 РЕМОНТ ШКОЛЬНОГО ТУАЛЕТА ОЧЕНЬ НУЖЕН;https://www.promonado.ru/domestos-schools/thumb/5BC3CE51-D9C4-4E10-B602-A31B1F5A6600.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=492
НЕФТЕКАМСК;МОАУ СОШ 11 УЛ. СОЦИАЛИСТИЧЕСКАЯ 62В РЕМОНТ САНУЗЛА;https://www.promonado.ru/domestos-schools/thumb/8B075FCA-2AF8-4FB5-B438-0288C309D87D.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=493
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ, 62В, ШКОЛА 11 УЖАСНОЕ СОСТОЯНИЕ САНУЗЛОВ;https://www.promonado.ru/domestos-schools/thumb/23A0C3DC-982E-4F60-99B7-1F969E5DBAD3.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=495
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62 Б МОАУ СОШ 11 МЫ НУЖДАЕМСЯ В РЕМОНТЕ ТУАЛЕТОВ, ТАК КАК ОНИ У НАС БЕЗОБРАЗНОМ СОСТОЯНИИ, СЛОМАННЫЕ ПРОТЕКАЮТ, СТАРОЕ ОБОРУДОВАНИЕ;https://www.promonado.ru/domestos-schools/thumb/749F4869-33FF-4374-9E4B-02DB5DE146B1.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=496
НЕФТЕКАМСК;452687, РЕСПУБЛИКА БАШКОРТОСТАН, Г.НЕФТЕКАМСК, ПЕР.КУВЫКИНА, 10, МОАУ "ГИМНАЗИЯ N1" ГО Г.НЕФТЕКАМСК РБ ШКОЛЬНЫЕ САНУЗЛЫ ДЛЯ МАЛЬЧИКОВ И ДЕВОЧЕК НА 3 И 4 ЭТАЖАХ ГИМНАЗИИ, В СПОРТИВНОМ ЗАЛЕ ТРЕБУЮТ КАЧЕСТВЕННОГО И СОВРЕМЕННОГО РЕМОНТА. КАПИТАЛЬНОГО РЕМОНТА ДАННЫХ ПОМЕЩЕНИЙ НЕ БЫЛО С МОМЕНТА ВВЕДЕНИЯ ЗДАНИЯ В ЭКСПЛУАТАЦИЮ.;https://www.promonado.ru/domestos-schools/thumb/56617632-50AD-457A-89C2-4467FF58E68A.jpg;2;https://www.promonado.ru/domestos-schools/?voteid=498
НЕФТЕКАМСК;УЛИЦА СОЦИАЛИСТИЧЕСКАЯ 62В РЕМОНТ ШКОЛЬНОГО ТУАЛЕТА ТРЕБУЕТ РЕМОНТА.;https://www.promonado.ru/domestos-schools/thumb/22A5EF0D-2240-4426-B867-3D32DB738598.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=499
НЕФТЕКАМСК;УЛ.СОЦИАЛИСТИЧЕСКАЯ 62В, МОАУ СОШ 11 ЗДРАВСТВУЙТЕ, ТУАЛЕТЫ В НАШЕЙ ШКОЛЕ НУЖДАЮТСЯ В СРОЧНОМ РЕМОНТЕ ;https://www.promonado.ru/domestos-schools/thumb/026C3AB3-08A7-4180-BE0A-4898535976B9.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=500
НЕФТЕКАМСК;МОАУ СОШ № 11. СОЦИАЛИСТИЧЕСКАЯ УЛ., 62В. СОСТОЯНИЕ ТУАЛЕТОВ ОЧЕНЬ ПЛОХОЕ. УНИТАЗЫ СТАРЫЕ, РЕБЕНОК ОТКАЗЫВАЕТСЯ САДИТЬСЯ НА НИХ, ПРИБЕГАЕТ ДОМОЙ ПОСЛЕ УРОКОВ - И В ТУАЛЕТ СРАЗУ ЖЕ. СЛИВНЫЕ БАЧКИ В ТРЕЩИНАХ, ЗАКЛЕЕННЫХ СКОТЧЕМ. Я, КАК РОДИТЕЛЬ, ТОЖЕ БЫ НЕ ПОШЛА В ТАКОЙ ТУАЛЕТ. ПРОЩЕ ОТПРОСИТЬСЯ ОТ УРОКА И СХОДИТЬ ДОМОЙ, ХОТЯ БЫ ЗДОРОВЬЕ НЕ ПОСТРАДАЕТ. НАВЕРНО ТРУДНО ТЕРПЕТЬ, КОГДА ХОЧЕТСЯ "ПО БОЛЬШОМУ". ОСЕНЬЮ ВТОРОЙ РЕБЕНОК ПОЙДЕТ В 1 КЛАСС. КАК ЕМУ ОБЪЯСНИТЬ, ЧТО СТРАШНЫЕ ТУАЛЕТЫ - ЭТО НОРМА... ТУАЛЕТЫ В 11 ШКОЛЕ НЕФТЕКАМСКА НУЖДАЮТСЯ В РЕМОНТЕ.;https://www.promonado.ru/domestos-schools/thumb/0BCB1C0D-7D05-40A0-B3ED-A5AE9A2AF792.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=501
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62Б СОШ 11 РЕМОНТ;https://www.promonado.ru/domestos-schools/thumb/A3AD6F3E-DD68-4EBB-8084-BA801CFA994D.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=503
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62В МОАУ СОШ #11 ТУАЛЕТ В УЖАСНОМ СОСТОЯНИИ, НЕТ КАБИНОК, СТАРЫЕ УНИТАЗЫ, ПЛИТКА НА ПОЛУ СТАРАЯ;https://www.promonado.ru/domestos-schools/thumb/67A99E70-9397-4B1E-A340-F53AB5B480FB.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=504
НЕФТЕКАМСК;МОАУ СОШ № 11. СОЦИАЛИСТИЧЕСКАЯ УЛ., 62В. СЫН ГОВОРИТ, ТУАЛЕТЫ В ПЛОХОМ СОСТОЯНИИ. В ПРОШЛОМ ГОДУ НА ДЛИТЕЛЬНОЕ ВРЕМЯ, ДО КОНЦА УЧЕБНОГО ГОДА ЗАКРЫЛИ ТУАЛЕТ. ПОСМОТРИТЕ НА ЭТИ ДОПОТОПНЫЕ УНИТАЗНЫЕ БАЧКИ... СССРА НЕТ, А БАЧКИ ОСТАЛИСЬ. ШКОЛА ХОРОШАЯ, ПРЕПОДАВАТЕЛИ "СИЛЬНЫЕ", А ВОТ ТУАЛЕТЫ ТАКИЕ СТРАШНЫЕ. РКБЕНОК СТАРАЕТСЯ НЕ ХОДИТЬ В ШКОЛЬНЫЙ ТУАЛЕТ, ТЕРПИТ ДО ДОМА. МНЕ КАЖЕТСЯ ШКОЛА НУЖДАЕТСЯ В ПОМОЩИ.;https://www.promonado.ru/domestos-schools/thumb/EAF44A61-6CE1-4C1D-BAB0-306162C511F0.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=505
НЕФТЕКАМСК;МОАУ СОШ №11 ПРОШУ ПОЛУЧИТЬ НОВЫЙ САНУЗЕЛ;https://www.promonado.ru/domestos-schools/thumb/4218C27C-7048-435A-BE21-3E1C6C960F71.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=507
НЕФТЕКАМСК;МОАУ СОШ № 11 САНУЗЕЛ ТРЕБУЕТ КАПИТАЛЬНОГО РЕМОНТА. НАДЕЕМСЯ НА ВАШУ ПОМОЩЬ;https://www.promonado.ru/domestos-schools/thumb/EAC2503E-1810-489A-9A2A-A4B5037D8856.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=510
НЕФТЕКАМСК;УЛ. СОЦИАЛИСТИЧЕСКАЯ 62 Б НУЖЕН РЕМОНТ ТУАЛЕТОВ, ПОКРАСКА СТЕН;https://www.promonado.ru/domestos-schools/thumb/A986365D-F2EE-43DB-BB25-2B474B89E120.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=511
НЕФТЕКАМСК;МОАО СОШ №11 ПРОШУ ОТРЕМОНТИРОВАТЬ НАШ ТУАЛЕТ, ЧТОБЫ ДЕТКАМ БЫЛО КОМФОРТНО И БЕЗОПАСНО ХОДИТЬ В ТУАЛЕТ.;https://www.promonado.ru/domestos-schools/thumb/EF2C8D2F-A527-4CBC-BF23-92413408A429.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=512
Г. НЕФТЕКАМСК;Г. НЕФТЕКАМСК УЛ. СОЦИАЛИСТИЧЕСКАЯ 62В МОАУ СОШ √ 11 УЖАСНЫЕ САНУЗЛЫ ЗАХОДИТЬ СТЫДНО ТФУ.;https://www.promonado.ru/domestos-schools/thumb/70C27F35-DA59-4426-83B3-DFF3813F1625.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=513
НЕФТЕКАМСК Г.;МОАУ СОШ №11, СОЦИАЛИСТИЧЕСКАЯ 62Б НЕОБХОДИМ РЕМОНТ ТУАЛЕТОВ.;https://www.promonado.ru/domestos-schools/thumb/D0D24C3E-3BE3-4A00-A0BA-35D309F2857C.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=515
НЕФТЕКАМСК;МОАУ СОШ 11, УЛ. СОЦИАЛИСТИЧЕСКАЯ 62В ХОТИМ РЕМОНТ В ТУАЛЕТЕ;https://www.promonado.ru/domestos-schools/thumb/205ED73C-1C8F-4270-93CC-E480FAD74F5E.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=516
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ УЛИЦА, 62В СОШ 11 НУЖЕН РЕМОНТ ТУАЛЕТА;https://www.promonado.ru/domestos-schools/thumb/208B9422-572A-423B-84C8-CA02FA13A9BF.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=517
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62 Б МОАУ СОШ 11 ПРОСИМ ВАС ОБРАТИТЬ ВНИМАНИЕ НА НАШУ ШКОЛУ НОМЕР 11 ТАМ ОЧЕНЬ УЖАСНЫЙ ТУАЛЕТЫ РАССЫПАЮТСЯ ПРОТЕКАЮТ И РАЗВОДЯТ ГРЯЗЬ БУДЕМ ОЧЕНЬ ВАМ БЛАГОДАРНЫ;https://www.promonado.ru/domestos-schools/thumb/7D0BA2B1-B211-4E36-99B9-62B94DABCA96.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=519
;МОУ СОШ 11 ПРОСИМ ОТРЕМОНТИРОВАТЬ САНУЗЛЫ В ШКОЛЕ.;https://www.promonado.ru/domestos-schools/thumb/AD3C5914-CA53-41FD-B763-4887056BD787.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=520
НЕФТЕКАМСК;УЛ.СОЦИАЛИСТИЧЕСКАЯ 62В. МОАУ СОШ 11. В ПЛОХОМ СОСТОЯНИИ ,ВСЕ СТАРОЕ;https://www.promonado.ru/domestos-schools/thumb/5EDB4890-8368-4878-8849-89A15E4A05B6.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=521
НЕФТЕКАМСК;МОАУ СОШ №11 ТУАЛЕТ НУЖДАЕТСЯ В КАПИТАЛЬНОМ РЕМОНТЕ.;https://www.promonado.ru/domestos-schools/thumb/73CF4481-CA68-4842-9590-CAE33C117183.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=522
НЕФТЕКАМСК;СОЦЕАЛИСТИЧЕСКАЯ 62В НОМЕР 11 НУЖНА ПОМОЩЬ В РЕМОНТЕ;https://www.promonado.ru/domestos-schools/thumb/F74E03F1-7C07-4443-A0A5-9A74231197B0.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=523
;МБОУ СШ 62, УЛ.60 ЛЕТ ОКТЯБРЯ, 22 ОЧЕНЬ ХОТИМ РЕМОНТ В НАШЕЙ ШКОЛЕ. ТУАЛЕТЫ ЧИСТЫЕ, НО РЕМОНТ ЛИШНИМ НЕ БУДЕТ.;https://www.promonado.ru/domestos-schools/thumb/2F2327F7-C00A-49D2-850C-218253E5FFE7.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=524
;МБОУ ШК № 17, УЛ ПУШКИНА, 3 НУЖЕН РЕМОНТ;https://www.promonado.ru/domestos-schools/thumb/4E513A18-D4E9-4138-92E0-8D66CBEDA43F.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=535
НЕФТЕКАМСК;МОАУ СОШ №2 Г. НЕФТЕКАМСК, УЛ. СОЦИАЛИСТИЧЕСКАЯ, ДОМ 45В МОАУ СОШ №2 Г. НЕФТЕКАМСК ПРИВЕТСТВУЕМ ВСЕХ! НАША ШКОЛА СТАРЕЙШАЯ ШКОЛА В ГОРОДЕ, ГОТОВИМСЯ К 60-ЛЕТНЕМУ ЮБИЛЕЮ! ОЧЕНЬ НАДЕЕМСЯ НА ПОБЕДУ В КОНКУРСЕ!;https://www.promonado.ru/domestos-schools/thumb/B8D12B18-E672-4CF9-B3D4-07962C760C31.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=538
НЕФТЕКАСМК;ШКОЛА 11 РЕМОНТ САН. УЗЕЛ;https://www.promonado.ru/domestos-schools/thumb/56C9D848-6369-4BE6-8809-C9502518BE9E.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=543
НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62В ШКОЛА 11 ТРЕБУЕТСЯ РЕМОНТ И ЗАМЕНА САН.ТЕХНИКИ В ТУАЛЕТЕ;https://www.promonado.ru/domestos-schools/thumb/6574ADE5-D5F4-436D-970A-BA3F68D83977.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=545
Г. НЕФТЕКАМСК;Г. НЕФТЕКАМСК УЛ. СОЦИАЛИСТИЧЕСКАЯ Д.74 МОБУ СОШ 13 ЖЕЛАЕМ НОВЫЙ ТУАЛЕТ В НАШУ ШКОЛУ! ИНДИВИДУАЛЬНЫЕ КАБИНКИ ДЛЯ ЧИСТОТЫ И ПОРЯДКА!;https://www.promonado.ru/domestos-schools/thumb/E7E6B6E9-DDCB-4FC1-A5F6-98405FD29DFE.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=548
НЕФТЕКАМСК;СОЦИАЛИСТИЧИСКАЯ 62, 11 ШКОЛА .;https://www.promonado.ru/domestos-schools/thumb/D3512A90-3E6C-4D7C-AC4E-545A12D50BF2.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=550
РЕСПУБЛИКА БАШКОРТОСТАН, Г. НЕФТЕКАМСК;СОЦИАЛИСТИЧЕСКАЯ 62В ТРЕБУЮТ РЕМОНТА;https://www.promonado.ru/domestos-schools/thumb/CD81EF14-04A6-48C8-9A67-1128CF26CB8C.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=552
НЕФТЕКАМСК;МОАУ СОШ 11 ТУАЛЕТ В ШКОЛЕ СО ВРЕМЁН СССР, А ОЧЕНЬ ХОЧЕТСЯ ЧТОБ БЫЛ СОВРЕМЕННЫМ.;https://www.promonado.ru/domestos-schools/thumb/BE423163-8608-4C06-A68B-70AE583C7E93.jpg;0;https://www.promonado.ru/domestos-schools/?voteid=553
