banner,count,id,image,limit,page,s_desc,s_image,s_title,s_url,title,url,v_url,votes,win
winner_domestos.png,,263,thumb/62983502-33DB-4C05-BAF1-ECB36A43996C.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=263,"Санкт-Петербург, Купчинская, д.11, корп.4, ГБОУ школа 443",ajax/popup-school.php?id=263&sort_type=1,ajax/popup-subscribe.php?id=263,63,reserve
winner_domestos.png,,310,thumb/407B4E9B-99F3-4696-9A75-21C70C660E4C.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=310,"г. Омск, ул. Товстухо 5а, Начальная школа № 73",ajax/popup-school.php?id=310&sort_type=1,ajax/popup-subscribe.php?id=310,58,reserve
winner_domestos.png,,325,thumb/BECE4876-C195-4A3A-9E18-D8B20A060C90.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=325,"МОАУ СОШ 9, ул.Трактовая 35",ajax/popup-school.php?id=325&sort_type=1,ajax/popup-subscribe.php?id=325,57,reserve
winner_domestos.png,,316,thumb/17C9CC25-0997-43E7-AF8F-592FD705D786.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=316,"Г. Нефтекамск, с. Энергетик, ул. Высоковольтная, д. 15 МОАУ СОШ №15 городского округа город Нефтекамск Республики Башкортостан",ajax/popup-school.php?id=316&sort_type=1,ajax/popup-subscribe.php?id=316,53,reserve
winner_domestos.png,,896,thumb/10F30552-7295-4E2F-B3C1-5250F9DB7C3B.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=896,Средняя общеобразовательная школа №6,ajax/popup-school.php?id=896&sort_type=1,ajax/popup-subscribe.php?id=896,53,reserve
winner_domestos.png,,157,thumb/BD89E994-DC44-4C2F-8CFC-084C1BB99BCD.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=157,"Ул.Грдины, 20, МБ НОУ ""Гимназия 48""",ajax/popup-school.php?id=157&sort_type=1,ajax/popup-subscribe.php?id=157,52,reserve
winner_domestos.png,,305,thumb/C9403351-D720-491C-BF1C-AD707B9A7D36.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=305,"МБОУ СОШ №179, г.Новосибирск, ул. Барьерная , д.8",ajax/popup-school.php?id=305&sort_type=1,ajax/popup-subscribe.php?id=305,51,reserve
winner_domestos.png,,819,thumb/914E5070-0738-4C98-88DD-FB52D6234450.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=819,174409 Новгородская область г.Боровичи  ул Школьный бульвар д.10  МАОУ СОШ №4,ajax/popup-school.php?id=819&sort_type=1,ajax/popup-subscribe.php?id=819,50,reserve
winner_domestos.png,,909,thumb/1834313D-0149-4DCA-B649-58DB92B59946.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=909,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №60 г. Владивостока""",ajax/popup-school.php?id=909&sort_type=1,ajax/popup-subscribe.php?id=909,47,reserve
winner_domestos.png,,714,thumb/01B6AD1D-340B-4FC2-A4AD-B5CE556F2A8B.jpg,,,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=714,"Республика Коми, город Усинск, ул.Мира, д.11а МАУДО ""ЦДОД"" г.Усинска",ajax/popup-school.php?id=714&sort_type=1,ajax/popup-subscribe.php?id=714,44,reserve
winner_domestos.png,149,788,thumb/22459E90-569C-49FA-A230-371D0B3F0930.jpg,12,4,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/pic/share.jpg,Помогите нашей школе получить новый санузел или продукцию Domestos!,https://www.promonado.ru/domestos-schools/?voteid=788,"413964, Саратовская область, Ивантеевский район, с. Яблоновый Гай, ул. Чапаева 47А",ajax/popup-school.php?id=788&sort_type=1,ajax/popup-subscribe.php?id=788,42,reserve
